ID,Title,Author,Date,Results
item_CWVI2NE5,A comparison of high-flow nasal cannula and standard facemask as pre-oxygenation technique for general anesthesia: A PRISMA-compliant systemic review and meta-analysis.,Hsien-Cheng Kuo,2022 Mar 11,"RESULTS: A total of 16 randomized controlled trials and 1148 patients were included. High-flow nasal oxygenation achieved a higher PaO2 compared with facemask, mean difference: 64.86 mm Hg (95 confidence interval CI: 32.33-97.40, P  .0001). Safe apnea time was longer in high-flow nasal oxygenation, mean difference: 131.03 seconds (95 CI: 59.39-202.66, P  .0001). There was no difference in the risk of peri-intubation desaturation or lowest peripheral capillary oxygen saturation between groups. Patient comfort score was higher in high-flow nasal oxygenation, mean difference: 1.00 (95 CI: 0.46-1.54, P  .0003)."
item_Z66CTS68,Comparing oxygen therapies for hypoxemia prevention during gastrointestinal endoscopy under procedural sedation: A systematic review and network meta-analysis.,Shuailei Wang,2024 Nov,"RESULTS: We included 27 RCTs with a total of 7552 patients. Compared to the use of NC, non-invasive positive pressure ventilation (NIPPV) demonstrated superior efficacy in mitigating hypoxemia (NIPPV vs. NC, OR  0.16, 95 CI: 0.08-0.31, 95 PrI: 0.06-0.41), followed by Wei nasal jet tube (WNJT) (WNJT vs. NC, OR  0.17, 95 CI: 0.10-0.30, 95 PrI: 0.07-0.42)."
item_7IYQ2ZIT,Comparison of High-flow Nasal Cannula (HFNC) and Conventional Oxygen Therapy in Obese Patients Undergoing Cardiac Surgery: A Systematic Review and Meta-analysis,Yanli Wang,2021,"Results: The search strategy yielded 382 studies after duplicates were removed. Finally, 3 RCTs with a total of 526 patients were included in the present study. Compared with COT, there was no significant difference in atelectasis score, dyspnea score, reintubation, and ICU length of stay."
item_KMVDJEEZ,Comparison of high-flow nasal cannula oxygenation and non-invasive ventilation for postoperative pediatric cardiac surgery: a meta-analysis.,Si-Jia Zhou,2024 Feb 21,"RESULTS: Our search yielded five publications, comprised of one randomized controlled trial and four cohort studies. Meta-analysis revealed a significant reduction in reintubation rates in children post-CHS treated with HFNC as compared to NIV RR  0.36, 95CI(0.25  0.53), P  0.00001. There was also a notable reduction in the duration of ICU stay MD  -4.75, 95CI (-9.38  -0.12), P  0.04. No statistically significant differences were observed between HFNC and NIV in terms of duration of mechanical ventilation, 24 h PaO(2), and PaCO(2) post-treatment (P  0.05). Furthermore, both groups showed no significant difference in the duration of extracorporeal circulation MD  -8.27, 95CI(-17.16  0.62), P  0.07."
item_5Y5T5CIU,Comparison of High-Flow Nasal Cannula Versus Conventional Oxygen Therapy After Extubation in Children Undergoing Cardiac Surgery: A Meta-analysis.,Jithin Karedath,2023 Mar,"A total of three studies were included in the meta-analysis, with a total of 227 patients. No significant difference was found between the two groups (the HFNC group and the COT group) in terms of reintubation (RR: 0.88, 95 CI: 0.34, 2.30, p-value: 0.80). Pooled meta-analysis showed that PaO2 was significantly greater in patients receiving HFNC at six hours (MD: 33.73, 95 CI: 18.33, 49.14, p-value0.001), at 12 hours (MD: 44.90, 95 CI: 28.59, 61.22, p-value0.001) and at 24 hours (MD: 43.53, 95 CI: 29.16, 57.91, p-value0.001) of extubation. PaCO2 was significantly lower in patients receiving HFNC at six hours (MD: -5.40, 95 CI: -7.94, -2.85, p-value0.001) and at 12 hours (MD: -5.93, 95 CI: -9.78, -2.09, p-value0.001) of extubation. However, no significant difference was reported between the two groups after 24 hours of extubation (MD: -0.84, 95 CI: -9.04, 7.37, p-value: 0.84) and PaO2FiO2 was significantly greater in patients receiving HFNC at six hours (MD: 64.14, 95 CI: 36.10, 92.17, p-value0.001), at 12 hours (MD: 70.73, 95 CI: 20.46, 121.01, p-value0.001) and at 24 hours (MD: 82.18, 95 CI: 50.03, 114.32, p-value0.001) of intubation."
item_BUT6USF9,Comparison of the effectiveness of high-flow nasal oxygen vs. standard facemask oxygenation for pre- and apneic oxygenation during anesthesia induction: a systematic review and meta-analysis.,Jian-Li Song,2022 Apr 6,"RESULTS: Fourteen RCTs and 1012 participants were finally included. We found the PaO(2) was higher in HFNO group than FMV group with a MD (95 CI) of 57.38 mmHg (25.65 to 89.10; p  0.0004) after preoxygenation and the safe apnoea time was significantly longer with a MD (95 CI) of 86.93 s (44.35 to 129.51; p  0.0001) during anesthesia induction. There were no significant statistical difference in the minimum SpO(2), CO(2) accumulation, EtO(2) and O(2) desaturation rate during anesthesia induction between the two groups."
item_I269PCA8,Effect of high-flow nasal cannula oxygen therapy compared with conventional oxygen therapy in postoperative patients: a systematic review and meta-analysis.,Zhonghua Lu,2019 Aug 2,"RESULTS: This meta-analysis included 10 studies (1327 patients). HFNC significantly reduced the reintubation rate (RR 0.38, 95 CI 0.23 to 0.61, p0.0001) and rate of escalation of respiratory support (RR 0.43, 95 CI 0.26 to 0.73, p0.002) in postextubation surgical patients compared with COT. There were no differences in the incidence of PPCs (RR 0.87, 95 CI 0.70 to 1.08, p0.21) or mortality (RR 0.45, 95 CI 0.16 to 1.29, p0.14)."
item_UL4BHCDV,Effect of high-flow nasal cannula oxygen therapy vs conventional oxygen therapy on adult postcardiothoracic operation: A meta-analysis.,Xiu Wu,2018 Oct,"RESULTS: Four studies that involved 649 patients were included in the analysis. No significant heterogeneity was found in outcome measures. Compared with COT, HFNC were associated with a significant reduction in the escalation of respiratory support (odds ratio OR  0.44, 95 confidence interval CI  0.29-0.66, P  .001) and pulmonary complications (OR  0.28, 95 CI  0.13-0.6, P  .001). There were no significant differences in the reintubation rate (OR  0.33, 95 CI  0.02-5.39, P  .43), length of ICU stay (weighted mean difference  0.11; 95 CI  -0.44 -0.26, P  .14) or length of hospital stay (weighted mean difference  -0.15, 95 CI  -0.46 -0.17, P  .36) between the 2 groups. No severe complications were reported in either group."
item_J2SATCV5,Effect of high-flow nasal oxygen on hypoxaemia during procedural sedation: a systematic review and meta-analysis.,V. Thiruvenkatarajan,2023 Jan," Nineteen randomised controlled trials (4121 patients) including three in children were included. Administration of high-flow nasal oxygen reduced hypoxaemia, risk ratio (95CI) 0.37 (0.24-0.56), p  0.001; minor airway manoeuvre requirements, risk ratio (95CI) 0.26 (0.11-0.59), p  0.001; procedural interruptions, risk ratio (95CI) 0.17 (0.05-0.53), p  0.002; and increased minimum oxygen saturation, mean difference (95CI) 4.1 (2.70-5.50), p  0.001; as compared with the control group. High-flow nasal oxygen had no impact on hypercarbia, risk ratio (95CI) 1.24 (0.97-1.58), p  0.09, I(2)  0. High-flow nasal oxygen reduced the incidence of hypoxaemia regardless of the procedure involved, degree of fractional inspired oxygen, risk-profile of patients and mode of propofol administration. The evidence was ascertained as moderate for all outcomes except for procedure interruptions"
item_WG8C3BZJ,Effect of noninvasive respiratory support after extubation on postoperative pulmonary complications in obese patients: A systematic review and network meta-analysis,Ruike Li,20231201,NA
